Community.number,Community.name,ChemCode,Amoxicillin,Chlorothalonil,Diflufenican,Glyphosate,Imidacloprid,Metaldehyde,Oxytetracycline,Tebuconazole,Well,Plate,Complexity,Plate.sample,Well.sample,Pyramid,PCR.plate,PCR.well.coord
1,R_ID_7.16_1_R10(1)_TSS,Frozen Starting Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,A1
1,R_ID_7.16_1_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,1,1 B2,1,1,A2
1,R_ID_7.16_1_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,1,1 B3,1,1,A3
1,R_ID_7.16_1_R10(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,1,1 B5,1,1,A4
1,R_ID_7.16_1_R10(1)_TSS,IO,0,0,0,0,1,0,1,0,C7,1,2,1,1 C7,1,1,A5
1,R_ID_7.16_1_R10(1)_TSS,IT,0,0,0,0,1,0,0,1,D7,1,2,1,1 D7,2,1,A6
1,R_ID_7.16_1_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,1,1 E2,1,1,A7
1,R_ID_7.16_1_R10(1)_TSS,AD,1,0,1,0,0,0,0,0,E3,1,2,1,1 E3,1,1,A8
1,R_ID_7.16_1_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,1,1 G2,1,1,A9
1,R_ID_7.16_1_R10(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,1,1 G6,1,1,A10
1,R_ID_7.16_1_R10(1)_TSS,,0,0,0,0,0,0,0,0,F4,5,0,10,10 F4,NA,1,A11
1,R_ID_7.16_1_R10(1)_TSS,AM,1,0,0,0,0,1,0,0,B4,1,2,11,11 B4,2,1,A12
1,R_ID_7.16_1_R10(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,11,11 B5,1,1,B1
1,R_ID_7.16_1_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,11,11 C2,1,1,B2
1,R_ID_7.16_1_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,11,11 C3,1,1,B3
1,R_ID_7.16_1_R10(1)_TSS,IO,0,0,0,0,1,0,1,0,C7,1,2,11,11 C7,1,1,B4
1,R_ID_7.16_1_R10(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,11,11 D2,1,1,B5
1,R_ID_7.16_1_R10(1)_TSS,CD,0,1,1,0,0,0,0,0,E4,1,2,11,11 E4,2,1,B6
1,R_ID_7.16_1_R10(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,11,11 F2,1,1,B7
1,R_ID_7.16_1_R10(1)_TSS,GO,0,0,0,1,0,0,1,0,F6,1,2,11,11 F6,2,1,B8
1,R_ID_7.16_1_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,11,11 G2,1,1,B9
1,R_ID_7.16_1_R10(1)_TSS,CDGO,0,1,1,1,0,0,1,0,E3,3,4,13,13 E3,2,1,B10
1,R_ID_7.16_1_R10(1)_TSS,CGMT,0,1,0,1,0,1,0,1,E5,3,4,13,13 E5,1,1,B11
1,R_ID_7.16_1_R10(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,15,15 D4,1,1,B12
1,R_ID_7.16_1_R10(1)_TSS,,0,0,0,0,0,0,0,0,G6,5,0,15,15 G6,NA,1,C1
1,R_ID_7.16_1_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,16,16 C2,1,1,C2
1,R_ID_7.16_1_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,16,16 C3,1,1,C3
1,R_ID_7.16_1_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,16,16 E2,1,1,C4
1,R_ID_7.16_1_R10(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,16,16 F2,1,1,C5
1,R_ID_7.16_1_R10(1)_TSS,ADIO,1,0,1,0,1,0,1,0,F10,2,4,17,17 F10,1,1,C6
1,R_ID_7.16_1_R10(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,20,20 D4,1,1,C7
1,R_ID_7.16_1_R10(1)_TSS,AIMT,1,0,0,0,1,1,0,1,F2,3,4,3,3 F2,2,1,C8
1,R_ID_7.16_1_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,6,6 B2,1,1,C9
1,R_ID_7.16_1_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,6,6 B3,1,1,C10
1,R_ID_7.16_1_R10(1)_TSS,AM,1,0,0,0,0,1,0,0,B4,1,2,6,6 B4,2,1,C11
1,R_ID_7.16_1_R10(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,6,6 D2,1,1,C12
1,R_ID_7.16_1_R10(1)_TSS,IT,0,0,0,0,1,0,0,1,D7,1,2,6,6 D7,2,1,D1
1,R_ID_7.16_1_R10(1)_TSS,AD,1,0,1,0,0,0,0,0,E3,1,2,6,6 E3,1,1,D2
1,R_ID_7.16_1_R10(1)_TSS,CD,0,1,1,0,0,0,0,0,E4,1,2,6,6 E4,2,1,D3
1,R_ID_7.16_1_R10(1)_TSS,GO,0,0,0,1,0,0,1,0,F6,1,2,6,6 F6,2,1,D4
1,R_ID_7.16_1_R10(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,6,6 G6,1,1,D5
1,R_ID_7.16_1_R10(1)_TSS,ADIO,1,0,1,0,1,0,1,0,F10,2,4,7,7 F10,1,1,D6
1,R_ID_7.16_1_R10(1)_TSS,CDGO,0,1,1,1,0,0,1,0,E3,3,4,8,8 E3,2,1,D7
1,R_ID_7.16_1_R10(1)_TSS,CGMT,0,1,0,1,0,1,0,1,E5,3,4,8,8 E5,1,1,D8
1,R_ID_7.16_1_R10(1)_TSS,AIMT,1,0,0,0,1,1,0,1,F2,3,4,8,8 F2,2,1,D9
,Extraction negative control,,,,,,,,,,,,,,,,1,D10
,,,,,,,,,,,,,,,,,1,D11
,,,,,,,,,,,,,,,,,1,D12
2,R_ID_7.16_4_R10(1)_TSS,Frozen Starting Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,E1
2,R_ID_7.16_4_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,1,1 B3,1,1,E2
2,R_ID_7.16_4_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,1,1 C2,1,1,E3
2,R_ID_7.16_4_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,1,1 C3,1,1,E4
2,R_ID_7.16_4_R10(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,1,1 D2,1,1,E5
2,R_ID_7.16_4_R10(1)_TSS,AT,1,0,0,0,0,0,0,1,D4,1,2,1,1 D4,2,1,E6
2,R_ID_7.16_4_R10(1)_TSS,GI,0,0,0,1,1,0,0,0,D6,1,2,1,1 D6,1,1,E7
2,R_ID_7.16_4_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,1,1 E2,1,1,E8
2,R_ID_7.16_4_R10(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,1,1 F2,1,1,E9
2,R_ID_7.16_4_R10(1)_TSS,DI,0,0,1,0,1,0,0,0,F5,1,2,1,1 F5,2,1,E10
2,R_ID_7.16_4_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,1,1 G2,1,1,E11
2,R_ID_7.16_4_R10(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,10,10 D4,1,1,E12
2,R_ID_7.16_4_R10(1)_TSS,,0,0,0,0,0,0,0,0,E9,5,0,10,10 E9,NA,1,F1
2,R_ID_7.16_4_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,11,11 B2,1,1,F2
2,R_ID_7.16_4_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,11,11 C3,1,1,F3
2,R_ID_7.16_4_R10(1)_TSS,CO,0,1,0,0,0,0,1,0,C5,1,2,11,11 C5,2,1,F4
2,R_ID_7.16_4_R10(1)_TSS,GM,0,0,0,1,0,1,0,0,E6,1,2,11,11 E6,2,1,F5
2,R_ID_7.16_4_R10(1)_TSS,DI,0,0,1,0,1,0,0,0,F5,1,2,11,11 F5,2,1,F6
2,R_ID_7.16_4_R10(1)_TSS,OT,0,0,0,0,0,0,1,1,G7,1,2,11,11 G7,1,1,F7
2,R_ID_7.16_4_R10(1)_TSS,ACDM,1,1,1,0,0,1,0,0,F7,2,4,12,12 F7,1,1,F8
2,R_ID_7.16_4_R10(1)_TSS,CGMO,0,1,0,1,0,1,1,0,D5,3,4,13,13 D5,2,1,F9
2,R_ID_7.16_4_R10(1)_TSS,,0,0,0,0,0,0,0,0,C11,5,0,15,15 C11,NA,1,F10
2,R_ID_7.16_4_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,16,16 B3,1,1,F11
2,R_ID_7.16_4_R10(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,16,16 B5,1,1,F12
2,R_ID_7.16_4_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,16,16 C2,1,1,G1
2,R_ID_7.16_4_R10(1)_TSS,CO,0,1,0,0,0,0,1,0,C5,1,2,16,16 C5,2,1,G2
2,R_ID_7.16_4_R10(1)_TSS,AT,1,0,0,0,0,0,0,1,D4,1,2,16,16 D4,2,1,G3
2,R_ID_7.16_4_R10(1)_TSS,AD,1,0,1,0,0,0,0,0,E3,1,2,16,16 E3,1,1,G4
2,R_ID_7.16_4_R10(1)_TSS,GM,0,0,0,1,0,1,0,0,E6,1,2,16,16 E6,2,1,G5
2,R_ID_7.16_4_R10(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,16,16 F2,1,1,G6
2,R_ID_7.16_4_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,16,16 G2,1,1,G7
2,R_ID_7.16_4_R10(1)_TSS,OT,0,0,0,0,0,0,1,1,G7,1,2,16,16 G7,1,1,G8
2,R_ID_7.16_4_R10(1)_TSS,ADIT,1,0,1,0,1,0,0,1,G10,2,4,17,17 G10,2,1,G9
2,R_ID_7.16_4_R10(1)_TSS,GIOT,0,0,0,1,1,0,1,1,E8,3,4,18,18 E8,1,1,G10
2,R_ID_7.16_4_R10(1)_TSS,ADIT,1,0,1,0,1,0,0,1,G10,2,4,2,2 G10,2,1,G11
2,R_ID_7.16_4_R10(1)_TSS,GIOT,0,0,0,1,1,0,1,1,E8,3,4,3,3 E8,1,1,G12
2,R_ID_7.16_4_R10(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,5,5 D4,1,1,H1
2,R_ID_7.16_4_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,6,6 B2,1,1,H2
2,R_ID_7.16_4_R10(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,6,6 B5,1,1,H3
2,R_ID_7.16_4_R10(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,6,6 D2,1,1,H4
2,R_ID_7.16_4_R10(1)_TSS,GI,0,0,0,1,1,0,0,0,D6,1,2,6,6 D6,1,1,H5
2,R_ID_7.16_4_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,6,6 E2,1,1,H6
2,R_ID_7.16_4_R10(1)_TSS,AD,1,0,1,0,0,0,0,0,E3,1,2,6,6 E3,1,1,H7
2,R_ID_7.16_4_R10(1)_TSS,ACDM,1,1,1,0,0,1,0,0,F7,2,4,7,7 F7,1,1,H8
2,R_ID_7.16_4_R10(1)_TSS,CGMO,0,1,0,1,0,1,1,0,D5,3,4,8,8 D5,2,1,H9
,Extraction negative control,,,,,,,,,,,,,,,,1,H10
,,,,,,,,,,,,,,,,,1,H11
,,,,,,,,,,,,,,,,,1,H12
3,R_ID_7.16_5_R10(1)_TSS,Frozen Starting Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,A1
3,R_ID_7.16_5_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,1,1 B2,1,2,A2
3,R_ID_7.16_5_R10(1)_TSS,AM,1,0,0,0,0,1,0,0,B4,1,2,1,1 B4,1,2,A3
3,R_ID_7.16_5_R10(1)_TSS,IM,0,0,0,0,1,1,0,0,B7,1,2,1,1 B7,2,2,A4
3,R_ID_7.16_5_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,1,1 C2,1,2,A5
3,R_ID_7.16_5_R10(1)_TSS,AO,1,0,0,0,0,0,1,0,C4,1,2,1,1 C4,2,2,A6
3,R_ID_7.16_5_R10(1)_TSS,CO,0,1,0,0,0,0,1,0,C5,1,2,1,1 C5,1,2,A7
3,R_ID_7.16_5_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,1,1 E2,1,2,A8
3,R_ID_7.16_5_R10(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,1,1 F2,1,2,A9
3,R_ID_7.16_5_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,1,1 G2,1,2,A10
3,R_ID_7.16_5_R10(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,1,1 G6,1,2,A11
3,R_ID_7.16_5_R10(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,10,10 D4,1,2,A12
3,R_ID_7.16_5_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,11,11 B3,1,2,B1
3,R_ID_7.16_5_R10(1)_TSS,IM,0,0,0,0,1,1,0,0,B7,1,2,11,11 B7,2,2,B2
3,R_ID_7.16_5_R10(1)_TSS,DT,0,0,1,0,0,0,0,1,C6,1,2,11,11 C6,2,2,B3
3,R_ID_7.16_5_R10(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,11,11 F2,1,2,B4
3,R_ID_7.16_5_R10(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,11,11 G6,1,2,B5
3,R_ID_7.16_5_R10(1)_TSS,ADOT,1,0,1,0,0,0,1,1,D11,2,4,12,12 D11,2,2,B6
3,R_ID_7.16_5_R10(1)_TSS,CDIO,0,1,1,0,1,0,1,0,B4,3,4,13,13 B4,1,2,B7
3,R_ID_7.16_5_R10(1)_TSS,CGIM,0,1,0,1,1,1,0,0,G4,3,4,13,13 G4,2,2,B8
3,R_ID_7.16_5_R10(1)_TSS,,0,0,0,0,0,0,0,0,C6,5,0,15,15 C6,NA,2,B9
3,R_ID_7.16_5_R10(1)_TSS,,0,0,0,0,0,0,0,0,E8,5,0,15,15 E8,NA,2,B10
3,R_ID_7.16_5_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,16,16 B3,1,2,B11
3,R_ID_7.16_5_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,16,16 C3,1,2,B12
3,R_ID_7.16_5_R10(1)_TSS,CO,0,1,0,0,0,0,1,0,C5,1,2,16,16 C5,1,2,C1
3,R_ID_7.16_5_R10(1)_TSS,DT,0,0,1,0,0,0,0,1,C6,1,2,16,16 C6,2,2,C2
3,R_ID_7.16_5_R10(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,16,16 D2,1,2,C3
3,R_ID_7.16_5_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,16,16 E2,1,2,C4
3,R_ID_7.16_5_R10(1)_TSS,CG,0,1,0,1,0,0,0,0,F4,1,2,16,16 F4,2,2,C5
3,R_ID_7.16_5_R10(1)_TSS,DI,0,0,1,0,1,0,0,0,F5,1,2,16,16 F5,1,2,C6
3,R_ID_7.16_5_R10(1)_TSS,AGMT,1,0,0,1,0,1,0,1,C2,3,4,18,18 C2,1,2,C7
3,R_ID_7.16_5_R10(1)_TSS,CDIO,0,1,1,0,1,0,1,0,B4,3,4,3,3 B4,1,2,C8
3,R_ID_7.16_5_R10(1)_TSS,AGMT,1,0,0,1,0,1,0,1,C2,3,4,3,3 C2,1,2,C9
3,R_ID_7.16_5_R10(1)_TSS,CGIM,0,1,0,1,1,1,0,0,G4,3,4,3,3 G4,2,2,C10
3,R_ID_7.16_5_R10(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,5,5 D4,1,2,C11
3,R_ID_7.16_5_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,6,6 B2,1,2,C12
3,R_ID_7.16_5_R10(1)_TSS,AM,1,0,0,0,0,1,0,0,B4,1,2,6,6 B4,1,2,D1
3,R_ID_7.16_5_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,6,6 C2,1,2,D2
3,R_ID_7.16_5_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,6,6 C3,1,2,D3
3,R_ID_7.16_5_R10(1)_TSS,AO,1,0,0,0,0,0,1,0,C4,1,2,6,6 C4,2,2,D4
3,R_ID_7.16_5_R10(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,6,6 D2,1,2,D5
3,R_ID_7.16_5_R10(1)_TSS,CG,0,1,0,1,0,0,0,0,F4,1,2,6,6 F4,2,2,D6
3,R_ID_7.16_5_R10(1)_TSS,DI,0,0,1,0,1,0,0,0,F5,1,2,6,6 F5,1,2,D7
3,R_ID_7.16_5_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,6,6 G2,1,2,D8
3,R_ID_7.16_5_R10(1)_TSS,ADOT,1,0,1,0,0,0,1,1,D11,2,4,7,7 D11,2,2,D9
,Extraction negative control,,,,,,,,,,,,,,,,2,D10
,,,,,,,,,,,,,,,,,2,D11
,,,,,,,,,,,,,,,,,2,D12
4,R_ID_7.16_6_R5(1)_TSS,Frozen Starting Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,E1
4,R_ID_7.16_6_R5(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,1,1 B2,1,2,E2
4,R_ID_7.16_6_R5(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,1,1 B5,2,2,E3
4,R_ID_7.16_6_R5(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,1,1 E2,1,2,E4
4,R_ID_7.16_6_R5(1)_TSS,GM,0,0,0,1,0,1,0,0,E6,1,2,1,1 E6,1,2,E5
4,R_ID_7.16_6_R5(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,1,1 F2,1,2,E6
4,R_ID_7.16_6_R5(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,1,1 G2,1,2,E7
4,R_ID_7.16_6_R5(1)_TSS,AI,1,0,0,0,1,0,0,0,G3,1,2,1,1 G3,1,2,E8
4,R_ID_7.16_6_R5(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,10,10 D4,1,2,E9
4,R_ID_7.16_6_R5(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,11,11 B3,1,2,E10
4,R_ID_7.16_6_R5(1)_TSS,DO,0,0,1,0,0,0,1,0,B6,1,2,11,11 B6,1,2,E11
4,R_ID_7.16_6_R5(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,11,11 C3,1,2,E12
4,R_ID_7.16_6_R5(1)_TSS,CT,0,1,0,0,0,0,0,1,D5,1,2,11,11 D5,1,2,F1
